"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","51.75.61.78","192.168.1.15","TCP","1506","443  >  63220 [ACK] Seq=1 Ack=1 Win=32 Len=1452"
"2","0.000000","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"3","0.000000","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"4","0.000000","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"5","0.000000","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"6","0.000000","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"7","0.000288","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=8713 Win=9347 Len=0"
"8","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"9","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"10","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"11","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"12","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"13","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"14","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"15","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"16","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"17","0.003180","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data"
"18","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"19","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"20","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"21","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"22","0.003180","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"23","0.003611","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=30493 Win=9347 Len=0"
"24","0.006298","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"25","0.006298","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"26","0.006298","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"27","0.006298","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data"
